Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Aegean Sea,Saronikos Gulf,Greece,37.790283,23.366981,Aquaculture/fisheries,9.49,Class 2,Ioakeimidis et al 2014
Mediterranean Sea,Ionian Sea,Gulf of Patras,Greece,38.300656,21.689171,Aquaculture/fisheries,6.1,Class 2,Ioakeimidis et al 2014
Mediterranean Sea,Ionian Sea,Echinades Gulf,Greece,38.202922,21.211924,Aquaculture/fisheries,12.5,Class 3,Ioakeimidis et al 2014
Mediterranean Sea,Levantine Sea,Limassol Gulf,Cyprus,34.649398,33.0962,Aquaculture/fisheries,0,Class 1,Ioakeimidis et al 2014
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.32528,9.680556,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.37306,9.901944,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.37139,9.901667,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.36917,9.909722,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.42778,10.32,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.71889,9.8425,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.92139,9.903889,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.29528,9.63,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.31,9.633889,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.07278,9.808333,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.07083,9.806944,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.07222,9.806111,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,41.34528,9.636667,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.92389,9.901111,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.92139,9.925278,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.79278,9.867222,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,40.29833,9.673611,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.97056,9.736944,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.96889,9.738056,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.78861,9.826944,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.06806,9.559722,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.08833,9.571111,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.89,9.278056,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.71472,8.917778,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.70444,8.921667,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
